Combined_Key	Country_Region	Population
Putnam, Georgia, US	US	22119
Quitman, Georgia, US	US	2299
Rabun, Georgia, US	US	17137
Randolph, Georgia, US	US	6778
Richmond, Georgia, US	US	202518
Rockdale, Georgia, US	US	90896
Schley, Georgia, US	US	5257
Screven, Georgia, US	US	13966
Seminole, Georgia, US	US	8090
Spalding, Georgia, US	US	66703
Stephens, Georgia, US	US	25925
Stewart, Georgia, US	US	6621
Sumter, Georgia, US	US	29524
Talbot, Georgia, US	US	6195
Taliaferro, Georgia, US	US	1537
Tattnall, Georgia, US	US	25286
Taylor, Georgia, US	US	8020
Telfair, Georgia, US	US	15860
Terrell, Georgia, US	US	8531
Thomas, Georgia, US	US	44451
Tift, Georgia, US	US	40644
Toombs, Georgia, US	US	26830
Towns, Georgia, US	US	12037
Treutlen, Georgia, US	US	6901
Troup, Georgia, US	US	69922
Turner, Georgia, US	US	7985
Twiggs, Georgia, US	US	8120
Union, Georgia, US	US	24511
Upson, Georgia, US	US	26320
Walker, Georgia, US	US	69761
Walton, Georgia, US	US	94593
Ware, Georgia, US	US	35734
Warren, Georgia, US	US	5254
Washington, Georgia, US	US	20374
Wayne, Georgia, US	US	29927
Webster, Georgia, US	US	2607
Wheeler, Georgia, US	US	7855
White, Georgia, US	US	30798
Whitfield, Georgia, US	US	104628
Wilcox, Georgia, US	US	8635
Wilkes, Georgia, US	US	9777
Wilkinson, Georgia, US	US	8954
Worth, Georgia, US	US	20247
Hawaii, Hawaii, US	US	201513
Honolulu, Hawaii, US	US	974563
Kalawao, Hawaii, US	US	86
Kauai, Hawaii, US	US	72293
Maui, Hawaii, US	US	167417
Ada, Idaho, US	US	481587
Adams, Idaho, US	US	4294
Bannock, Idaho, US	US	87808
Bear Lake, Idaho, US	US	6125
Benewah, Idaho, US	US	9298
Bingham, Idaho, US	US	46811
Blaine, Idaho, US	US	23021
Boise, Idaho, US	US	7831
Bonner, Idaho, US	US	45739
Bonneville, Idaho, US	US	119062
Boundary, Idaho, US	US	12245
Butte, Idaho, US	US	2597
Camas, Idaho, US	US	1106
Canyon, Idaho, US	US	229849
Caribou, Idaho, US	US	7155
Cassia, Idaho, US	US	24030
Clark, Idaho, US	US	845
Clearwater, Idaho, US	US	8756
Custer, Idaho, US	US	4315
Elmore, Idaho, US	US	27511
Franklin, Idaho, US	US	13876
Fremont, Idaho, US	US	13099
Gem, Idaho, US	US	18112
Gooding, Idaho, US	US	15179
Idaho, Idaho, US	US	16667
Jefferson, Idaho, US	US	29871
Jerome, Idaho, US	US	24412
Kootenai, Idaho, US	US	165697
Latah, Idaho, US	US	40108
Lemhi, Idaho, US	US	8027
Lewis, Idaho, US	US	3838
Lincoln, Idaho, US	US	5366
Madison, Idaho, US	US	39907
Minidoka, Idaho, US	US	21039
Nez Perce, Idaho, US	US	40408
Oneida, Idaho, US	US	4531
Owyhee, Idaho, US	US	11823
Payette, Idaho, US	US	23951
Power, Idaho, US	US	7681
Shoshone, Idaho, US	US	12882
Teton, Idaho, US	US	12142
Twin Falls, Idaho, US	US	86878
Valley, Idaho, US	US	11392
Washington, Idaho, US	US	10194
Adams, Illinois, US	US	65435
Alexander, Illinois, US	US	5761
Bond, Illinois, US	US	16426
Boone, Illinois, US	US	53544
Brown, Illinois, US	US	6578
Bureau, Illinois, US	US	32628
Calhoun, Illinois, US	US	4739
Carroll, Illinois, US	US	14305
Cass, Illinois, US	US	12147
Champaign, Illinois, US	US	209689
Christian, Illinois, US	US	32304
Clark, Illinois, US	US	15441
Clay, Illinois, US	US	13184
Clinton, Illinois, US	US	37562
Coles, Illinois, US	US	50621
Cook, Illinois, US	US	5150233
Crawford, Illinois, US	US	18667
Cumberland, Illinois, US	US	10766
DeKalb, Illinois, US	US	104897
De Witt, Illinois, US	US	15638
Douglas, Illinois, US	US	19465
DuPage, Illinois, US	US	922921
Edgar, Illinois, US	US	17161
Edwards, Illinois, US	US	6395
Effingham, Illinois, US	US	34008
Fayette, Illinois, US	US	21336
Ford, Illinois, US	US	12961
Franklin, Illinois, US	US	38469
Fulton, Illinois, US	US	34340
Gallatin, Illinois, US	US	4828
Greene, Illinois, US	US	12969
Grundy, Illinois, US	US	51054
Hamilton, Illinois, US	US	8116
Hancock, Illinois, US	US	17708
Hardin, Illinois, US	US	3821
Henderson, Illinois, US	US	6646
Henry, Illinois, US	US	48913
Iroquois, Illinois, US	US	27114
Jackson, Illinois, US	US	56750
Jasper, Illinois, US	US	9610
Jefferson, Illinois, US	US	37684
Jersey, Illinois, US	US	21773
Jo Daviess, Illinois, US	US	21235
Johnson, Illinois, US	US	12417
Kane, Illinois, US	US	532403
Kankakee, Illinois, US	US	109862
Kendall, Illinois, US	US	128990
Knox, Illinois, US	US	49699
Lake, Illinois, US	US	696535
LaSalle, Illinois, US	US	108669
Lawrence, Illinois, US	US	15678
Lee, Illinois, US	US	34096
Livingston, Illinois, US	US	35648
Logan, Illinois, US	US	28618
McDonough, Illinois, US	US	29682
McHenry, Illinois, US	US	307774
McLean, Illinois, US	US	171517
Macon, Illinois, US	US	104009
Macoupin, Illinois, US	US	44926
Madison, Illinois, US	US	262966
Marion, Illinois, US	US	37205
Marshall, Illinois, US	US	11438
Mason, Illinois, US	US	13359
Massac, Illinois, US	US	13772
Menard, Illinois, US	US	12196
Mercer, Illinois, US	US	15437
Monroe, Illinois, US	US	34637
Montgomery, Illinois, US	US	28414
Morgan, Illinois, US	US	33658
Moultrie, Illinois, US	US	14501
Ogle, Illinois, US	US	50643
Peoria, Illinois, US	US	179179
Perry, Illinois, US	US	20916
Piatt, Illinois, US	US	16344
Pike, Illinois, US	US	15561
Pope, Illinois, US	US	4177
Pulaski, Illinois, US	US	5335
Putnam, Illinois, US	US	5739
Randolph, Illinois, US	US	31782
Richland, Illinois, US	US	15513
Rock Island, Illinois, US	US	141879
St. Clair, Illinois, US	US	259686
Saline, Illinois, US	US	23491
Sangamon, Illinois, US	US	194672
Schuyler, Illinois, US	US	6768
Scott, Illinois, US	US	4951
Shelby, Illinois, US	US	21634
Stark, Illinois, US	US	5342
Stephenson, Illinois, US	US	44498
Tazewell, Illinois, US	US	131803
Union, Illinois, US	US	16653
Vermilion, Illinois, US	US	75758
Wabash, Illinois, US	US	11520
Warren, Illinois, US	US	16844
Washington, Illinois, US	US	13887
Wayne, Illinois, US	US	16215
White, Illinois, US	US	13537
Whiteside, Illinois, US	US	55175
Will, Illinois, US	US	690743
Williamson, Illinois, US	US	66597
Winnebago, Illinois, US	US	282572
Woodford, Illinois, US	US	38459
Adams, Indiana, US	US	35777
Allen, Indiana, US	US	379299
Bartholomew, Indiana, US	US	83779
Benton, Indiana, US	US	8748
Blackford, Indiana, US	US	11758
Boone, Indiana, US	US	67843
Brown, Indiana, US	US	15092
Carroll, Indiana, US	US	20257
Cass, Indiana, US	US	37689
Clark, Indiana, US	US	118302
Clay, Indiana, US	US	26225
Clinton, Indiana, US	US	32399
Crawford, Indiana, US	US	10577
Daviess, Indiana, US	US	33351
Dearborn, Indiana, US	US	49458
Decatur, Indiana, US	US	26559
DeKalb, Indiana, US	US	43475
Delaware, Indiana, US	US	114135
Dubois, Indiana, US	US	42736
Elkhart, Indiana, US	US	206341
Fayette, Indiana, US	US	23102
Floyd, Indiana, US	US	78522
Fountain, Indiana, US	US	16346
Franklin, Indiana, US	US	22758
Fulton, Indiana, US	US	19974
Gibson, Indiana, US	US	33659
Grant, Indiana, US	US	65769
Greene, Indiana, US	US	31922
Hamilton, Indiana, US	US	338011
Hancock, Indiana, US	US	78168
Harrison, Indiana, US	US	40515
Hendricks, Indiana, US	US	170311
Henry, Indiana, US	US	47972
Howard, Indiana, US	US	82544
Huntington, Indiana, US	US	36520
Jackson, Indiana, US	US	44231
Jasper, Indiana, US	US	33562
Jay, Indiana, US	US	20436
Jefferson, Indiana, US	US	32308
Jennings, Indiana, US	US	27735
Johnson, Indiana, US	US	158167
Knox, Indiana, US	US	36594
Kosciusko, Indiana, US	US	79456
LaGrange, Indiana, US	US	39614
Lake, Indiana, US	US	485493
LaPorte, Indiana, US	US	109888
Lawrence, Indiana, US	US	45370
Madison, Indiana, US	US	129569
Marion, Indiana, US	US	964582
Marshall, Indiana, US	US	46258
Martin, Indiana, US	US	10255
Miami, Indiana, US	US	35516
Monroe, Indiana, US	US	148431
Montgomery, Indiana, US	US	38338
Morgan, Indiana, US	US	70489
Newton, Indiana, US	US	13984
Noble, Indiana, US	US	47744
Ohio, Indiana, US	US	5875
Orange, Indiana, US	US	19646
Owen, Indiana, US	US	20799
Parke, Indiana, US	US	16937
Perry, Indiana, US	US	19169
Pike, Indiana, US	US	12389
Porter, Indiana, US	US	170389
Posey, Indiana, US	US	25427
Pulaski, Indiana, US	US	12353
Putnam, Indiana, US	US	37576
Randolph, Indiana, US	US	24665
Ripley, Indiana, US	US	28324
Rush, Indiana, US	US	16581
St. Joseph, Indiana, US	US	271826
Scott, Indiana, US	US	23873
Shelby, Indiana, US	US	44729
Spencer, Indiana, US	US	20277
Starke, Indiana, US	US	22995
Steuben, Indiana, US	US	34594
Sullivan, Indiana, US	US	20669
Switzerland, Indiana, US	US	10751
Tippecanoe, Indiana, US	US	195732
Tipton, Indiana, US	US	15148
Union, Indiana, US	US	7054
Vanderburgh, Indiana, US	US	181451
Vermillion, Indiana, US	US	15498
Vigo, Indiana, US	US	107038
Wabash, Indiana, US	US	30996
Warren, Indiana, US	US	8265
Warrick, Indiana, US	US	62998
Washington, Indiana, US	US	28036
Wayne, Indiana, US	US	65884
Wells, Indiana, US	US	28296
White, Indiana, US	US	24102
Whitley, Indiana, US	US	33964
Adair, Iowa, US	US	7152
Adams, Iowa, US	US	3602
Allamakee, Iowa, US	US	13687
Appanoose, Iowa, US	US	12426
Audubon, Iowa, US	US	5496
Benton, Iowa, US	US	25645
Black Hawk, Iowa, US	US	131228
Boone, Iowa, US	US	26234
Bremer, Iowa, US	US	25062
Buchanan, Iowa, US	US	21175
Buena Vista, Iowa, US	US	19620
Butler, Iowa, US	US	14439
Calhoun, Iowa, US	US	9668
Carroll, Iowa, US	US	20165
Cass, Iowa, US	US	12836
Cedar, Iowa, US	US	18627
Cerro Gordo, Iowa, US	US	42450
Cherokee, Iowa, US	US	11235
Chickasaw, Iowa, US	US	11933
Clarke, Iowa, US	US	9395
Clay, Iowa, US	US	16016
Clayton, Iowa, US	US	17549
Clinton, Iowa, US	US	46429
Crawford, Iowa, US	US	16820
Dallas, Iowa, US	US	93453
Davis, Iowa, US	US	9000
Decatur, Iowa, US	US	7870
Delaware, Iowa, US	US	17011
Des Moines, Iowa, US	US	38967
Dickinson, Iowa, US	US	17258
Dubuque, Iowa, US	US	97311
Emmet, Iowa, US	US	9208
Fayette, Iowa, US	US	19650
Floyd, Iowa, US	US	15642
Franklin, Iowa, US	US	10070
Fremont, Iowa, US	US	6960
Greene, Iowa, US	US	8888
Grundy, Iowa, US	US	12232
Guthrie, Iowa, US	US	10689
Hamilton, Iowa, US	US	14773
Hancock, Iowa, US	US	10630
Hardin, Iowa, US	US	16846
Harrison, Iowa, US	US	14049
Henry, Iowa, US	US	19954
Howard, Iowa, US	US	9158
Humboldt, Iowa, US	US	9558
Ida, Iowa, US	US	6860
Iowa, Iowa, US	US	16184
Jackson, Iowa, US	US	19439
Jasper, Iowa, US	US	37185
Jefferson, Iowa, US	US	18295
Johnson, Iowa, US	US	151140
Jones, Iowa, US	US	20681
Keokuk, Iowa, US	US	10246
Kossuth, Iowa, US	US	14813
Lee, Iowa, US	US	33657
Linn, Iowa, US	US	226706
Louisa, Iowa, US	US	11035
Lucas, Iowa, US	US	8600
Lyon, Iowa, US	US	11755
Madison, Iowa, US	US	16338
Mahaska, Iowa, US	US	22095
Marion, Iowa, US	US	33253
Marshall, Iowa, US	US	39369
Mills, Iowa, US	US	15109
Mitchell, Iowa, US	US	10586
Monona, Iowa, US	US	8615
Monroe, Iowa, US	US	7707
Montgomery, Iowa, US	US	9917
Muscatine, Iowa, US	US	42664
O'Brien, Iowa, US	US	13753
Osceola, Iowa, US	US	5958
Page, Iowa, US	US	15107
Palo Alto, Iowa, US	US	8886
Plymouth, Iowa, US	US	25177
Pocahontas, Iowa, US	US	6619
Polk, Iowa, US	US	490161
Pottawattamie, Iowa, US	US	93206
Poweshiek, Iowa, US	US	18504
Ringgold, Iowa, US	US	4894
Sac, Iowa, US	US	9721
Scott, Iowa, US	US	172943
Shelby, Iowa, US	US	11454
Sioux, Iowa, US	US	34855
Story, Iowa, US	US	97117
Tama, Iowa, US	US	16854
Taylor, Iowa, US	US	6121
Union, Iowa, US	US	12241
Van Buren, Iowa, US	US	7044
Wapello, Iowa, US	US	34969
Warren, Iowa, US	US	51466
Washington, Iowa, US	US	21965
Wayne, Iowa, US	US	6441
Webster, Iowa, US	US	35904
Winnebago, Iowa, US	US	10354
Winneshiek, Iowa, US	US	19991
Woodbury, Iowa, US	US	103107
Worth, Iowa, US	US	7381
Wright, Iowa, US	US	12562
Allen, Kansas, US	US	12369
Anderson, Kansas, US	US	7858
Atchison, Kansas, US	US	16073
Barber, Kansas, US	US	4427
Barton, Kansas, US	US	25779
Bourbon, Kansas, US	US	14534
Brown, Kansas, US	US	9564
Butler, Kansas, US	US	66911
Chase, Kansas, US	US	2648
Chautauqua, Kansas, US	US	3250
Cherokee, Kansas, US	US	19939
Cheyenne, Kansas, US	US	2657
Clark, Kansas, US	US	1994
Clay, Kansas, US	US	8002
Cloud, Kansas, US	US	8786
Coffey, Kansas, US	US	8179
Comanche, Kansas, US	US	1700
Cowley, Kansas, US	US	34908
Crawford, Kansas, US	US	38818
Decatur, Kansas, US	US	2827
Dickinson, Kansas, US	US	18466
Doniphan, Kansas, US	US	7600
Douglas, Kansas, US	US	122259
Edwards, Kansas, US	US	2798
Elk, Kansas, US	US	2530
Ellis, Kansas, US	US	28553
Ellsworth, Kansas, US	US	6102
Finney, Kansas, US	US	36467
Ford, Kansas, US	US	33619
Franklin, Kansas, US	US	25544
Geary, Kansas, US	US	31670
Gove, Kansas, US	US	2636
Graham, Kansas, US	US	2482
Grant, Kansas, US	US	7150
Gray, Kansas, US	US	5988
Greeley, Kansas, US	US	1232
Greenwood, Kansas, US	US	5982
Hamilton, Kansas, US	US	2539
Harper, Kansas, US	US	5436
Harvey, Kansas, US	US	34429
Haskell, Kansas, US	US	3968
Hodgeman, Kansas, US	US	1794
Jackson, Kansas, US	US	13171
Jefferson, Kansas, US	US	19043
Jewell, Kansas, US	US	2879
Johnson, Kansas, US	US	602401
Kearny, Kansas, US	US	3838
Kingman, Kansas, US	US	7152
Kiowa, Kansas, US	US	2475
Labette, Kansas, US	US	19618
Lane, Kansas, US	US	1535
Leavenworth, Kansas, US	US	81758
Lincoln, Kansas, US	US	2962
Linn, Kansas, US	US	9703
Logan, Kansas, US	US	2794
Lyon, Kansas, US	US	33195
McPherson, Kansas, US	US	28542
Marion, Kansas, US	US	11884
Marshall, Kansas, US	US	9707
Meade, Kansas, US	US	4033
Miami, Kansas, US	US	34237
Mitchell, Kansas, US	US	5979
Montgomery, Kansas, US	US	31829
Morris, Kansas, US	US	5620
Morton, Kansas, US	US	2587
Nemaha, Kansas, US	US	10231
Neosho, Kansas, US	US	16007
Ness, Kansas, US	US	2750
Norton, Kansas, US	US	5361
Osage, Kansas, US	US	15949
Osborne, Kansas, US	US	3421
Ottawa, Kansas, US	US	5704
Pawnee, Kansas, US	US	6414
Phillips, Kansas, US	US	5234
Pottawatomie, Kansas, US	US	24383
Pratt, Kansas, US	US	9164
Rawlins, Kansas, US	US	2530
Reno, Kansas, US	US	61998
Republic, Kansas, US	US	4636
Rice, Kansas, US	US	9537
Riley, Kansas, US	US	74232
Rooks, Kansas, US	US	4920
Rush, Kansas, US	US	3036
Russell, Kansas, US	US	6856
Saline, Kansas, US	US	54224
Scott, Kansas, US	US	4823
Sedgwick, Kansas, US	US	516042
Seward, Kansas, US	US	21428
Shawnee, Kansas, US	US	176875
Sheridan, Kansas, US	US	2521
Sherman, Kansas, US	US	5917
Smith, Kansas, US	US	3583
Stafford, Kansas, US	US	4156
Stanton, Kansas, US	US	2006
Stevens, Kansas, US	US	5485
Sumner, Kansas, US	US	22836
Thomas, Kansas, US	US	7777
Trego, Kansas, US	US	2803
Wabaunsee, Kansas, US	US	6931
Wallace, Kansas, US	US	1518
Washington, Kansas, US	US	5406
Wichita, Kansas, US	US	2119
Wilson, Kansas, US	US	8525
Woodson, Kansas, US	US	3138
Wyandotte, Kansas, US	US	165429
Adair, Kentucky, US	US	19202
Allen, Kentucky, US	US	21315
Anderson, Kentucky, US	US	22747
Ballard, Kentucky, US	US	7888
Barren, Kentucky, US	US	44249
Bath, Kentucky, US	US	12500
Bell, Kentucky, US	US	26032
Boone, Kentucky, US	US	133581
Bourbon, Kentucky, US	US	19788
Boyd, Kentucky, US	US	46718
Boyle, Kentucky, US	US	30060
Bracken, Kentucky, US	US	8303
Breathitt, Kentucky, US	US	12630
Breckinridge, Kentucky, US	US	20477
Bullitt, Kentucky, US	US	81676
Butler, Kentucky, US	US	12879
Caldwell, Kentucky, US	US	12747
Calloway, Kentucky, US	US	39001
Campbell, Kentucky, US	US	93584
Carlisle, Kentucky, US	US	4760
Carroll, Kentucky, US	US	10631
Carter, Kentucky, US	US	26797
Casey, Kentucky, US	US	16159
Christian, Kentucky, US	US	70461
Clark, Kentucky, US	US	36263
Clay, Kentucky, US	US	19901
Clinton, Kentucky, US	US	10218
Crittenden, Kentucky, US	US	8806
Cumberland, Kentucky, US	US	6614
Daviess, Kentucky, US	US	101511
Edmonson, Kentucky, US	US	12150
Elliott, Kentucky, US	US	7517
Estill, Kentucky, US	US	14106
Fayette, Kentucky, US	US	323152
Fleming, Kentucky, US	US	14581
Floyd, Kentucky, US	US	35589
Franklin, Kentucky, US	US	50991
Fulton, Kentucky, US	US	5969
Gallatin, Kentucky, US	US	8869
Garrard, Kentucky, US	US	17666
Grant, Kentucky, US	US	25069
Graves, Kentucky, US	US	37266
Grayson, Kentucky, US	US	26427
Green, Kentucky, US	US	10941
Greenup, Kentucky, US	US	35098
Hancock, Kentucky, US	US	8722
Hardin, Kentucky, US	US	110958
Harlan, Kentucky, US	US	26010
Harrison, Kentucky, US	US	18886
Hart, Kentucky, US	US	19035
Henderson, Kentucky, US	US	45210
Henry, Kentucky, US	US	16126
Hickman, Kentucky, US	US	4380
Hopkins, Kentucky, US	US	44686
Jackson, Kentucky, US	US	13329
Jefferson, Kentucky, US	US	766757
Jessamine, Kentucky, US	US	54115
Johnson, Kentucky, US	US	22188
Kenton, Kentucky, US	US	166998
Knott, Kentucky, US	US	14806
Knox, Kentucky, US	US	31145
Larue, Kentucky, US	US	14398
Laurel, Kentucky, US	US	60813
Lawrence, Kentucky, US	US	15317
Lee, Kentucky, US	US	7403
Leslie, Kentucky, US	US	9877
Letcher, Kentucky, US	US	21553
Lewis, Kentucky, US	US	13275
Lincoln, Kentucky, US	US	24549
Livingston, Kentucky, US	US	9194
Logan, Kentucky, US	US	27102
Lyon, Kentucky, US	US	8210
McCracken, Kentucky, US	US	65418
McCreary, Kentucky, US	US	17231
McLean, Kentucky, US	US	9207
Madison, Kentucky, US	US	92987
Magoffin, Kentucky, US	US	12161
Marion, Kentucky, US	US	19273
Marshall, Kentucky, US	US	31100
Martin, Kentucky, US	US	11195
Mason, Kentucky, US	US	17070
Meade, Kentucky, US	US	28572
Menifee, Kentucky, US	US	6489
Mercer, Kentucky, US	US	21933
Metcalfe, Kentucky, US	US	10071
Monroe, Kentucky, US	US	10650
Montgomery, Kentucky, US	US	28157
Morgan, Kentucky, US	US	13309
Muhlenberg, Kentucky, US	US	30622
Nelson, Kentucky, US	US	46233
Nicholas, Kentucky, US	US	7269
Ohio, Kentucky, US	US	23994
Oldham, Kentucky, US	US	66799
Owen, Kentucky, US	US	10901
Owsley, Kentucky, US	US	4415
Pendleton, Kentucky, US	US	14590
Perry, Kentucky, US	US	25758
Pike, Kentucky, US	US	57876
Powell, Kentucky, US	US	12359
Pulaski, Kentucky, US	US	64979
Robertson, Kentucky, US	US	2108
Rockcastle, Kentucky, US	US	16695
Rowan, Kentucky, US	US	24460
Russell, Kentucky, US	US	17923
Scott, Kentucky, US	US	57004
Shelby, Kentucky, US	US	49024
Simpson, Kentucky, US	US	18572
Spencer, Kentucky, US	US	19351
Taylor, Kentucky, US	US	25769
Todd, Kentucky, US	US	12294
Trigg, Kentucky, US	US	14651
Trimble, Kentucky, US	US	8471
Union, Kentucky, US	US	14381
Warren, Kentucky, US	US	132896
Washington, Kentucky, US	US	12095
Wayne, Kentucky, US	US	20333
Webster, Kentucky, US	US	12942
Whitley, Kentucky, US	US	36264
Wolfe, Kentucky, US	US	7157
Woodford, Kentucky, US	US	26734
Acadia, Louisiana, US	US	62045
Allen, Louisiana, US	US	25627
Ascension, Louisiana, US	US	126604
Assumption, Louisiana, US	US	21891
Avoyelles, Louisiana, US	US	40144
Beauregard, Louisiana, US	US	37497
Bienville, Louisiana, US	US	13241
Bossier, Louisiana, US	US	127039
Caddo, Louisiana, US	US	240204
Calcasieu, Louisiana, US	US	203436
Caldwell, Louisiana, US	US	9918
Cameron, Louisiana, US	US	6973
Catahoula, Louisiana, US	US	9494
Claiborne, Louisiana, US	US	15670
Concordia, Louisiana, US	US	19259
De Soto, Louisiana, US	US	27463
East Baton Rouge, Louisiana, US	US	440059
East Carroll, Louisiana, US	US	6861
East Feliciana, Louisiana, US	US	19135
Evangeline, Louisiana, US	US	33395
Franklin, Louisiana, US	US	20015
Grant, Louisiana, US	US	22389
Iberia, Louisiana, US	US	69830
Iberville, Louisiana, US	US	32511
Jackson, Louisiana, US	US	15744
Jefferson, Louisiana, US	US	432493
Jefferson Davis, Louisiana, US	US	31368
Lafayette, Louisiana, US	US	244390
Lafourche, Louisiana, US	US	97614
LaSalle, Louisiana, US	US	14892
Lincoln, Louisiana, US	US	46742
Livingston, Louisiana, US	US	140789
Madison, Louisiana, US	US	10951
Morehouse, Louisiana, US	US	24874
Natchitoches, Louisiana, US	US	38158
Orleans, Louisiana, US	US	390144
Ouachita, Louisiana, US	US	153279
Plaquemines, Louisiana, US	US	23197
Pointe Coupee, Louisiana, US	US	21730
Rapides, Louisiana, US	US	129648
Red River, Louisiana, US	US	8442
Richland, Louisiana, US	US	20122
Sabine, Louisiana, US	US	23884
St. Bernard, Louisiana, US	US	47244
St. Charles, Louisiana, US	US	53100
St. Helena, Louisiana, US	US	10132
St. James, Louisiana, US	US	21096
St. John the Baptist, Louisiana, US	US	42837
St. Landry, Louisiana, US	US	82124
St. Martin, Louisiana, US	US	53431
St. Mary, Louisiana, US	US	49348
St. Tammany, Louisiana, US	US	260419
Tangipahoa, Louisiana, US	US	134758
Tensas, Louisiana, US	US	4334
Terrebonne, Louisiana, US	US	110461
Union, Louisiana, US	US	22108
Vermilion, Louisiana, US	US	59511
Vernon, Louisiana, US	US	47429
Washington, Louisiana, US	US	46194
Webster, Louisiana, US	US	38340
West Baton Rouge, Louisiana, US	US	26465
West Carroll, Louisiana, US	US	10830
West Feliciana, Louisiana, US	US	15568
Winn, Louisiana, US	US	13904
Androscoggin, Maine, US	US	108277
Aroostook, Maine, US	US	67055
Cumberland, Maine, US	US	295003
Franklin, Maine, US	US	30199
Hancock, Maine, US	US	54987
Kennebec, Maine, US	US	122302
Knox, Maine, US	US	39772
Lincoln, Maine, US	US	34634
Oxford, Maine, US	US	57975
Penobscot, Maine, US	US	152148
Piscataquis, Maine, US	US	16785
Sagadahoc, Maine, US	US	35856
Somerset, Maine, US	US	50484
Waldo, Maine, US	US	39715
Washington, Maine, US	US	31379
York, Maine, US	US	207641
Allegany, Maryland, US	US	70416
Anne Arundel, Maryland, US	US	579234
Baltimore, Maryland, US	US	827370
Calvert, Maryland, US	US	92525
Caroline, Maryland, US	US	33406
Carroll, Maryland, US	US	168447
Cecil, Maryland, US	US	102855
Charles, Maryland, US	US	163257
Dorchester, Maryland, US	US	31929
Frederick, Maryland, US	US	259547
Garrett, Maryland, US	US	29014
Harford, Maryland, US	US	255441
Howard, Maryland, US	US	325690
Kent, Maryland, US	US	19422
Montgomery, Maryland, US	US	1050688
Prince George's, Maryland, US	US	909327
Queen Anne's, Maryland, US	US	50381
St. Mary's, Maryland, US	US	113510
Somerset, Maryland, US	US	25616
Talbot, Maryland, US	US	37181
Washington, Maryland, US	US	151049
Wicomico, Maryland, US	US	103609
Worcester, Maryland, US	US	52276
Baltimore City, Maryland, US	US	593490
Barnstable, Massachusetts, US	US	212990
Berkshire, Massachusetts, US	US	124944
Bristol, Massachusetts, US	US	565217
Dukes, Massachusetts, US	US	17332
Essex, Massachusetts, US	US	789034
Franklin, Massachusetts, US	US	70180
Hampden, Massachusetts, US	US	466372
Hampshire, Massachusetts, US	US	160830
Middlesex, Massachusetts, US	US	1611699
Nantucket, Massachusetts, US	US	11399
Norfolk, Massachusetts, US	US	706775
Plymouth, Massachusetts, US	US	521202
Suffolk, Massachusetts, US	US	803907
Worcester, Massachusetts, US	US	830622
Alcona, Michigan, US	US	10405
Alger, Michigan, US	US	9108
Allegan, Michigan, US	US	118081
Alpena, Michigan, US	US	28405
Antrim, Michigan, US	US	23324
Arenac, Michigan, US	US	14883
Baraga, Michigan, US	US	8209
Barry, Michigan, US	US	61550
Bay, Michigan, US	US	103126
Benzie, Michigan, US	US	17766
Berrien, Michigan, US	US	153401
Branch, Michigan, US	US	43517
Calhoun, Michigan, US	US	134159
Cass, Michigan, US	US	51787
Charlevoix, Michigan, US	US	26143
Cheboygan, Michigan, US	US	25276
Chippewa, Michigan, US	US	37349
Clare, Michigan, US	US	30950
Clinton, Michigan, US	US	79595
Crawford, Michigan, US	US	14029
Delta, Michigan, US	US	35784
Dickinson, Michigan, US	US	25239
Eaton, Michigan, US	US	110268
Emmet, Michigan, US	US	33415
Genesee, Michigan, US	US	405813
Gladwin, Michigan, US	US	25449
Gogebic, Michigan, US	US	13975
Grand Traverse, Michigan, US	US	93088
Gratiot, Michigan, US	US	40711
Hillsdale, Michigan, US	US	45605
Houghton, Michigan, US	US	35684
Huron, Michigan, US	US	30981
Ingham, Michigan, US	US	292406
Ionia, Michigan, US	US	64697
Iosco, Michigan, US	US	25127
Iron, Michigan, US	US	11066
Isabella, Michigan, US	US	69872
Jackson, Michigan, US	US	158510
Kalamazoo, Michigan, US	US	265066
Kalkaska, Michigan, US	US	18038
Kent, Michigan, US	US	656955
Keweenaw, Michigan, US	US	2116
Lake, Michigan, US	US	11853
Lapeer, Michigan, US	US	87607
Leelanau, Michigan, US	US	21761
Lenawee, Michigan, US	US	98451
Livingston, Michigan, US	US	191995
Luce, Michigan, US	US	6229
Mackinac, Michigan, US	US	10799
Macomb, Michigan, US	US	873972
Manistee, Michigan, US	US	24558
Marquette, Michigan, US	US	66699
Mason, Michigan, US	US	29144
Mecosta, Michigan, US	US	43453
Menominee, Michigan, US	US	22780
Midland, Michigan, US	US	83156
Missaukee, Michigan, US	US	15118
Monroe, Michigan, US	US	150500
Montcalm, Michigan, US	US	63888
Montmorency, Michigan, US	US	9328
Muskegon, Michigan, US	US	173566
Newaygo, Michigan, US	US	48980
Oakland, Michigan, US	US	1257584
Oceana, Michigan, US	US	26467
Ogemaw, Michigan, US	US	20997
Ontonagon, Michigan, US	US	5720
Osceola, Michigan, US	US	23460
Oscoda, Michigan, US	US	8241
Otsego, Michigan, US	US	24668
Ottawa, Michigan, US	US	291830
Presque Isle, Michigan, US	US	12592
Roscommon, Michigan, US	US	24019
Saginaw, Michigan, US	US	190539
St. Clair, Michigan, US	US	159128
St. Joseph, Michigan, US	US	60964
Sanilac, Michigan, US	US	41170
Schoolcraft, Michigan, US	US	8094
Shiawassee, Michigan, US	US	68122
